PERCENT CHANGE,PROFITS
0.7111905891326668,0
0.6994148444747849,1.7
0.687639099816903,2.5196721311475407
0.675863355159021,2.5196721311475407
0.6640876105011391,2.5196721311475407
0.6523118658432572,2.5196721311475407
0.6405361211853753,2.5196721311475407
0.6287603765274934,2.5196721311475407
0.6169846318696114,2.5196721311475407
0.6052088872117295,2.5196721311475407
0.5934331425538476,3.1294282287085164
0.5816573978959657,3.1294282287085164
0.5698816532380837,3.1294282287085164
0.5581059085802018,3.1294282287085164
0.5463301639223199,3.1294282287085164
0.534554419264438,5.206094895375183
0.5227786746065561,5.206094895375183
0.5110029299486742,8.446094895375182
0.49922718529079224,8.446094895375182
0.48745144063291035,8.446094895375182
0.47567569597502846,8.446094895375182
0.46389995131714656,7.446094895375182
0.4521242066592646,7.446094895375182
0.4403484620013827,7.446094895375182
0.4285727173435008,8.446094895375182
0.4167969726856189,8.446094895375182
0.40502122802773693,8.446094895375182
0.39324548336985504,8.446094895375182
0.38146973871197315,8.446094895375182
0.3696939940540912,9.145395594675882
0.3579182493962093,8.145395594675882
0.34614250473832736,8.978728928009216
0.33436676008044547,8.978728928009216
0.3225910154225636,8.978728928009216
0.31081527076468163,8.978728928009216
0.29903952610679974,8.987819837100124
0.2872637814489178,10.297819837100125
0.2754880367910359,9.297819837100125
0.263712292133154,9.297819837100125
0.25193654747527205,7.297819837100125
0.24016080281739016,5.297819837100125
0.22838505815950821,4.297819837100125
0.21660931350162632,-3.702180162899875
0.20483356884374437,-3.1021801628998773
0.19305782418586248,-5.852180162899877
0.1812820795279806,-4.052180162899877
0.1695063348700987,6.8478198371001255
0.1577305902122167,-2.1521801628998745
0.1459548455543348,2.908560577840859
0.1341791008964529,-10.843999062611317
0.12240335623857101,22.456000937388694
0.11062761158068912,11.735425397820393
0.09885186692280712,29.00721292415949
0.08707612226492523,75.8011731320554
0.07530037760704333,54.23369666497575
0.06352463294916144,40.33233713853224
0.05174888829127955,91.92610228355022
0.039973143633397545,80.99849270231516
0.028197398975515653,18.5552638207962
0.01642165431763376,13.562433310754614
0.004645909659751868,-53.7577763955469
-0.007129834998130025,-66.2368217590797
-0.018905579656012028,-67.25785566322429
-0.03068132431389392,-164.5398984076678
-0.04245706897177581,-183.85565941116056
-0.054232813629657706,-219.207758081232
-0.0660085582875396,-223.59650980718789
-0.0777843029454216,-224.58106654659423
-0.0895600476033035,-237.8411805325436
-0.10133579226118539,-219.23737401991093
-0.11311153691906728,-231.39295613320792
-0.12488728157694917,-235.3846790579164
-0.13666302623483118,-229.04067417613896
-0.14843877089271307,-241.22921844232997
-0.16021451555059496,-253.33755929365861
-0.17199026020847685,-239.40755929365878
-0.18376600486635875,-245.82898786508758
-0.19554174952424075,-234.75755929365914
-0.20731749418212264,-238.7682128884303
-0.21909323884000453,-246.56821288843048
-0.23086898349788643,-241.87349192312104
-0.24264472815576832,-240.72349192312095
-0.2544204728136503,-245.52304147267068
-0.2661962174715322,-244.8036170122391
-0.2779719621294141,-243.37361701223927
-0.2897477067872961,-244.37361701223927
-0.301523451445178,-246.37361701223927
-0.3132991961030599,-246.37361701223927
-0.3250749407609418,-247.0733167119388
-0.3368506854188237,-248.0733167119388
-0.3486264300767056,-249.8233167119388
-0.36040217473458747,-249.8233167119388
-0.37217791939246936,-251.8233167119388
-0.38395366405035125,-253.8233167119388
-0.39572940870823337,-253.8233167119388
-0.40750515336611526,-253.8233167119388
-0.41928089802399715,-253.8233167119388
-0.43105664268187904,-253.8233167119388
-0.44283238733976094,-253.8233167119388
-0.45460813199764283,-254.8233167119388
